#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
127,Malta,"113,120",0,795,0,"110,728",0,"1,597",4,"254,777","1,791","2,023,313","4,557,052","443,996",Europe,4,558,0,0,0,"3,597"
223,Marshall Islands,68,0,0,0,58,0,10,0,"1,133",0,0,0,"60,023",Australia/Oceania,883,0,0,0,0,167
110,Martinique,"215,140",0,"1,017",0,104,0,"214,019",8,"574,230","2,714","828,928","2,212,492","374,658",North America,2,368,0,0,0,"571,238"
145,Mauritania,"62,631",0,992,0,"61,242",0,397,0,"12,770",202,"918,852","187,343","4,904,656",Africa,78,"4,944",5,0,0,81
156,Mauritius,"39,535",0,"1,013",0,"37,576",0,946,0,"30,979",794,"358,675","281,056","1,276,170",Africa,32,"1,260",4,0,0,741
157,Mayotte,"39,344",0,187,0,N/A,N/A,N/A,0,"137,303",653,"176,919","617,413","286,549",Africa,7,"1,532",2,0,0,"126,306"
18,Mexico,"6,821,746","+18,556","328,128",+122,"5,982,348","+18,211","511,270","4,798","51,774","2,490","17,777,962","134,928","131,758,912",North America,19,402,7,141,0.9,"3,880"
207,Micronesia,"6,507",+216,12,+1,59,+7,"6,436",8,"55,361",102,"21,923","186,518","117,538",Australia/Oceania,18,"9,795",5,"1,838",9,"54,757"
88,Moldova,"532,187",0,"11,608",0,"504,142",0,"16,437",49,"132,569","2,892","3,216,305","801,189","4,014,413",Europe,8,346,1,0,0,"4,094"
188,Monaco,"14,104",0,57,0,"13,913",0,134,4,"354,176","1,431","77,770","1,952,941","39,822",Europe,3,699,1,0,0,"3,365"
74,Mongolia,"951,735",0,"2,179",0,N/A,N/A,N/A,192,"280,877",643,"4,030,048","1,189,353","3,388,438",Asia,4,"1,555",1,0,0,"187,786"
105,Montenegro,"262,808",0,"2,753",0,"253,737",0,"6,318",6,"418,330","4,382","2,555,520","4,067,797","628,232",Europe,2,228,0,0,0,"10,057"
219,Montserrat,"1,068",0,8,0,"1,032",0,28,0,"213,685","1,601","15,134","3,028,011","4,998",North America,5,625,0,0,0,"5,602"
56,Morocco,"1,262,082",0,"16,250",0,"1,242,896",0,"2,936",293,"33,368",430,"12,268,725","324,369","37,823,328",Africa,30,"2,328",3,0,0,78
109,Mozambique,"229,674",0,"2,216",0,"227,192",0,266,11,"6,942",67,"1,370,614","41,430","33,082,474",Africa,144,"14,929",24,0,0,8
83,Myanmar,"614,158",0,"19,434",0,"592,943",0,"1,781",0,"11,132",352,"8,559,637","155,148","55,170,720",Asia,90,"2,839",6,0,0,32
121,Namibia,"169,253",0,"4,065",0,"164,813",0,375,0,"64,186","1,542","1,062,663","402,995","2,636,913",Africa,16,649,2,0,0,142
214,Nauru,"4,603",0,1,0,"4,600",0,2,0,"419,752",91,"17,889","1,631,315","10,966",Australia/Oceania,2,"10,966",1,0,0,182
